評論者,星等,評論內容
Nora liao,5,"吃了好多年了～味道都沒有變，老闆很親切🥰
餐點都超級好吃！！上菜速度也非常快
新搬的店址空間又更大了，環境舒適，會持續回訪💖 …"
Ivan K f a,4,超罕見道地的真正港式茶餐廳，當然也包含服務，價格跟裝潢。邊用餐時，彷彿能感受到置身於香港當地一般！
Wang Anisa,2,以前很常吃，味道不錯但料真的越來越少少少少…記得上次的這個雞排飯有菜有蛋…現在只有一棵花椰菜兩條小地瓜……..？
劉言融,5,"餐點雖然偏油但好吃
裡面網路不好
座位要現場排"
游岱儒,5,餐點份量足夠，價格不高，而且味道道地，尤其是奶茶，非常濃厚的茶基底完全就是香港的味道，店員們服務態度很好。
alven liu,4,餐點好吃沒有雷，但台灣茶餐廳價位普遍都偏高。
Ian Fang,5,蘿蔔糕真的是我吃過全台北最好吃的港式茶餐廳
Yvonne Chen,4,干炒牛河跟蘿蔔糕都不錯吃，腸粉的蘸醬很特別的別
Nora liao,5,"吃了好多年了～味道都沒有變，老闆很親切🥰
餐點都超級好吃！！上菜速度也非常快
新搬的店址空間又更大了，環境舒適，會持續回訪💖"
an tony,5,終於吃到福洲燴飯了，自從京星不賣後，就沒在吃到過，感動，所以給5顆星
張譽瀚,5,建議先參考白板上的今日特餐，加飲料170，有時可以發掘菜單上沒有的料理，用餐時間接近客滿，翻桌的速度很快，不需久候
BOBO HUA,3,環境明亮；蒸飯是長米、澮飯是圓米；肉質蒸得很透，骨肉易分離
靖christine kitty,4,來這兒點套餐，省事快速，煲湯必喝，一天限量60盅，cp值高～
Tacoy,4,推推菠蘿包，上菜速度快，相對的收盤速度也超快.. 太快..
Mala Yang,4,"久久沒來吃，炒飯依舊是水準之上
算是價格實惠的港式餐廳"
MONS PZ,1,"1.點了四道菜，上第二道後就說要先結帳，付錢之後兩道菜一直沒上，直到我們主動詢問，沒解釋卻直接退我們錢,留下我們一臉錯愕

2.店員找錯錢，我們反應給找錯錢的店員，他並沒有立即處理，直到我們到櫃檯反應後，其他店員才來處理

3.香菇滑雞飯soso.....

4.菜有菜蟲

5.生意這麼好，應該要開發票吧

Ps.檸檬紅茶還可以"
AWESOME CHEN,3,餐點一般，內用還在使用塑膠免洗湯匙，算是比較不環保，不會主動開發票。
Lynn Lin,4,好吃。有飯，米粉，湯麵。還有冷飲，種類很多。可惜的是沒有干燒尹麵。喜歡吃港式餐點的朋友這家可以放在口袋名單中。
呂毅宏,4,"價格在50到150之間，以台北來說合理
平日下午兩點到五點有特價套餐
奶油豬排公仔麵吃起來不錯，濃濃奶香
奶油波羅的奶油融化了，
我個人偏好不融化的不過應該是每家做法不同
（照片中的單點總共275）
（推薦菠蘿麵包，好吃）"
Yihsiang Hsu,4,東西好吃之外，雖然人多但老闆不會臭臉！態度一百分！
Duncan Shih,5,道地的港式茶餐廳，裡面的老闆及員工都是香港人，聽到員工們的交談聲彷彿來到香港了，食物的口味非常道地，今天點了凍奶茶、西多士，凍奶茶濃厚香醇，西多士鹹香可口，而且外酥內軟，絕對會忍不住再點一個，最後必須稱讚的是店員的服務態度，絕對與在香港的茶餐廳用餐體驗不一樣，這裡的店員親切，服務周到，以上必須給五星好評！在不能出國品嚐香港美食，我想鑫華會是您的好選擇！
GIANT TOUGH,4,特色餐點 似乎沒有特別 有到蠔油時蔬就是炒波菜阿 整體餐點偏貴 但蠻多可以選擇 算到地
Sam Yu,5,"平日中午一人用餐
點了干炒牛河跟蝦米煎腸粉，很道地的味道出餐快也好吃👍 …"
周Y,5,餐點美味，服務周到。
Dysis Li,3,炒飯蠻香不錯吃，蔬菜煲普通，但菠蘿油還是好好味好吃><
DoDo Ma,5,"從搬家前就常吃，現在搬了新家還是常常來吃
道地小吃
老闆跟服務生都服務很周到，記憶力也很好，讓人感到貼心❤️
上菜速度快
每次來必點鴛鴦"
戴沛,3,"跟朋友經過很多次難得來嚐鮮
由於翻桌率高，店內的服務生從點菜到收餐都很匆促的感覺
點了生牛肉炒飯覺得還可以，同行友人點了公仔麵，cp值不高"
劉釋允,3,非尖峰時間用餐。蘿蔔糕4顆星，外酥內嫩。乾炒牛河就是乾炒牛河...大概3顆星，下次應該會點其他的看看。
皮皮泰泰,5,"店家親切，一進門就熱情招呼
餐點好吃，牆壁上有特餐配飲料會划算很多"
Yu Han Lin,4,"蘿蔔糕跟菠蘿油不錯吃～👍👍
價位也不貴～不錯的茶餐廳 …"
許瀚寶,5,"換新店面後，整體感覺環境舒適、服務態度也不像大家敘述的那麼”香港”😂
餐點一樣很有水準、很好吃！
算是北部茶餐廳的首選！ …"
Yun hsin Liu,4,"蒸飯可以pass,不是一盅一盅的飯肉去蒸，而是煮熟飯，客人點什麼飯就把煮好的料放在飯上。
點心與老火湯可以，豉油皇炒麵變肉絲炒麵很不欣賞這一點"
Yuti Chang,5,"好吃吃的茶餐廳
換了裝潢好美喔"
Tristan Chen,4,整體水準不錯，服務也很好，推薦奶茶、芝麻糊。
Ace “XAce”,5,"前陣子吃過舊址
今天第一次來新址用餐

服務人員很有禮貌 老闆很有趣
除了新址比舊址擠一點以外
其他沒什麼好挑惕
味道和我在澳門吃的一模一樣
價錢也合理"
楊詒珺,5,新店面近捷運站，用餐環境提升，餐點依然美味！
Tien-Jung Wu,5,服務態度好，東西每道都很實在好吃
陳家蓁,5,隨便點隨便好吃！ 好久沒吃到好吃的芝麻糊！煎功了得，煎腸粉、蘿蔔糕和腐皮卷都很好吃！
陳建瑋,5,好吃，會再訪；位置偏擁擠，最好不要大包小包的前往。
YL L,1,從以前舊址就常去光顧，搬去新址之後第一次上門，早上11點多人還沒坐滿，老闆叫我們坐到店後面的位子，看起來油煙很大，煙霧瀰漫，還在廁所前方，我們指著門口窗邊空位，老闆表示那是四人座。 …
Liling,5,"有個男店員長的很像港星杜宇航
便宜好吃，份量又多
店員們服務態度都很不錯
推薦XO醬煎腸粉"
Chunhui Chuang,5,好多年前第一次來問老闆怎麼沒有干炒海鮮河，老闆說，我做給你吃啊，從此以後每次來都點菜單上沒有的干炒海鮮河❤️。店裡的人都很有人情味，真的很喜歡來吃飯，五月底又要搬家了大家別白跑一趟。
chia lien hung,5,超道地的香港口味，老闆跟店員也是香港人，今天兩個人吃了八百多，推薦XO醬蘿蔔糕、蝦仁煎腸粉、公司三文治，其實每一樣都很好吃，cp值高，上菜超級快，也很積極整理桌面，大推！
Fanny Tsai,5,"2021.03
品項蠻多的，喜歡乾炒牛河，朋友推揚州炒飯
2021.05 …"
Lucas Fang,3,沒有客人的允許，直接把菜盤上的剩下一點的菜，倒倒餐盤上！實在沒辦法接受！
IC P,1,東西味道不變價格提高，整體食物味道很好，但是為什麼要用滾這字眼對客人說話，戴眼鏡的年輕女服務員，人很多很忙並不表示可以用這麼粗的話語應對客人，補充也沒有主動開發票，食物五星+服務態度ㄧ星共六星好評不用謝
Sylvia Hung,4,"餐點道地～蠻好吃的
不過步調很快😂
店員會一直來收桌子 …"
Linda Wu,3,干炒牛河鑊氣夠不錯吃，朋友說港式炒麵麵不夠硬
Ellen Tan,4,道地茶餐廳  價格屬於平價  口味多種選擇
YL L,1,"從以前舊址就常去光顧，搬去新址之後第一次上門，早上11點多人還沒坐滿，老闆叫我們坐到店後面的位子，看起來油煙很大，煙霧瀰漫，還在廁所前方，我們指著門口窗邊空位，老闆表示那是四人座。

好吧，勉強入座了，果然吃飯過程油煙好重，薰到衣服都是油煙味，久久散不去，換到新址之後，餐點也變油膩了，覺得跟以前有差別。

最後結帳時，跟老闆娘提一下，後面油煙好重啊 老闆娘毫無反應，連一聲不好意思都沒說...

餐點、服務、用餐環境， 失去一個愛店令人失望.."
Fanny Tsai,5,"2021.03
品項蠻多的，喜歡乾炒牛河，朋友推揚州炒飯
2021.05
今天點的大多不錯吃，推XO醬蘿蔔糕跟蝦米煎腸粉，今日例湯紅棗淮山雞肉湯也好喝。"
Sylvia Hung,4,"餐點道地～蠻好吃的
不過步調很快😂
店員會一直來收桌子"
謝芭樂,5,"終於 我終於在台灣喝到道地的港式鴛鴦了
我快哭了！為了它 我一定會常來的

干炒豬肉河- 非常好吃 豬肉很嫩
蝦米煎腸粉- 雖然蝦的味道不是很夠 但整體香氣很夠 而且皮煎煎的不錯吃

店內氣氛真的好像置身香港 老闆一直用廣東話大聲跟客人與員工聊天 港味十足！"
劉又寧,3,"香菇蒸滑雞飯飯超硬....
炒公仔麵也普通
價格平價，口味沒有很特別"
Pepper H,4,週日晚上，等侯約5分鐘，店員們服務都很好，餐點非常道地，推薦：蝦米煎腸粉
yiying chen,5,很好吃，點的炒河粉，菠蘿包，凍檸茶，空心菜，蘿蔔糕，甜點是芒果布丁湯圓。原先想像是湯圓包著芒果布丁餡，結果上來真的是如字，芒果加湯圓加布丁哈哈哈。不錯很好吃～菠蘿包吃到最後有點鹹味，菠蘿皮是甜的。可能吃習慣了甜、吃到最後有點鹹覺得有點怪。不過這個只是個人的口味問題。總得很好吃～
懂之懂之,4,蘿蔔糕入口即化，炒飯清爽少鹽，正餐價位多落在120～200之間，這次我們2人吃460，還會再來
Mark Chen,2,"非常台式味道，香港茶餐廳，餐點味道及樣式和在香港的茶餐廳不相同，所以没拍照片，鴛鴦的容器和口感也不相同，不過很合台灣人的口感，好想到香港，今日第二次再來，下午茶，西多士居然是溫冷的，真失望，，
Very Taiwanese taste, Hong Kong tea restaurant, the food taste and style are different from those in Hong Kong tea restaurant, so I didn’t take photos, the container and taste of HK style milk tea are different, but it fits the taste of Taiwanese people, I miss Hong Kong food in Hong Kong"
楊國長,5,好吃的茶餐廳，我點的是牛肉蛋湯麵，牛肉很滑嫩，蛋也很好吃，感覺好吃，可以再來吃別的品項，這是我推薦的美食，推薦給大家
ZeNion,5,牛河好吃，蝦仁普普，環境滿分，難得有港式餐廳這麼注重整潔，服務態度也很不錯，總體來說是值得推薦的店
Fanny Chiang,5,口味道地，餐點份量不少，連服務都很港式，蠻不錯的。
Candy Chang,5,"帶澳門朋友來吃，她說道地。
個人偏好覺得點菜吃比較好吃，可以控制飯量。點客飯的話飯量很大。"
dian tai,5,鑫華N訪！沒遇雷！菠蘿包超好吃！記得後上才能吃到熱呼呼的口感！
Iona Chen,5,"我點的都好吃，除了楊枝甘露不合我味以外
鹹檸七好喝
店員人很好，比香港的店員還好😀"
蔡昀潔,4,"用餐環境不錯，品項也很多
乾炒牛河好吃但滿油的 吃到後面會有點膩
港式炒麵普通
橙花雞排飯醬很特殊 值得試試看
福州燴飯我覺得最好吃
量都蠻多的是可以吃得飽的"
Miowowo Kuo,4,油煙味濃到衣服都是，鹹魚雞粒炒飯味道較淡，其他都不錯
葉輔翊,5,每天都有160的特餐，可以加一杯飲料，飲料推薦紅豆冰
YL,5,"很能感受到香港的風情
味到很好
吃了豉椒排骨飯 肉嫩 骨頭太不多 椒香不辣
芝麻奶酪 芝麻香濃甜度低
蘿蔔糕表皮微脆 內綿密"
WH,4,港式炒麵口味特別 但其中魷魚味道不太行
臺灣的膽固醇,5,"我想吃邊邊恰恰的蘿蔔糕啦～
2024.Dec"
Lucy Huang,5,法蘭西多士又甜又香超好吃。
쿄쿄#ovo#,3,餐點中等沒有很驚艷，上菜很快但是收拾也很快，讓人很有壓力。
Wen-Ling Lu,4,味道不錯，價格合理，老闆很和氣。干炒牛河好吃，味精多了一點，回家必須一直喝水。
Chia Chun Tsai,3,菠蘿油還不錯，XO醬牛肉公仔麵偏鹹、肉很乾，但是份量夠，吃粗飽的
YUOTO LIU,4,放了地瓜是為什麼？味道還行。
Ally Chang,5,港式口味很特別，好吃
Kane Chao,3,"有點過油
口味覺得還好"
文琮,5,人多時需要候位，出餐速度很快 味道也有一定水準
Yiping Chen,3,營業時間中間沒休息，腸粉和一般在外面吃到的不一樣
J.Y,3,炒牛河偏油，越南牛肉河粉湯麵好吃，甜點法蘭西多士好吃~上菜速度快到驚人！
Ping Go,5,招牌讓人非常驚艷
黑兄,5,口味不錯，出餐非常快速，不加服務費，以台北價位來說相當划算！
Henry子桓,5,環境乾淨、東西好吃😋，女服務員也美 …
yining lee,5,今天跟我的好朋友去用餐 店員跟我們的相處方式很像好朋友（？）還幫我把可樂的瓶口擦乾淨 還幫忙打開 超貼心的😏💕 東西也不錯吃 推薦ㄡㄡㄡㄡ
Li Wei,4,這個還蠻香港味的茶餐廳，味道真的不錯，他們明天就要搬去愛國東路101號，今天來吃這個地址的最後一次，留個紀念。想吃中餐最好是上午11點就來，否則一下就坐滿了。
GRANT ZHOU,5,"非常好茶餐廳，身為附近大學生多年這家常是吃飯名單，點心鹹食都可可，老闆非常nice又熱情。

註：I人如我也不會覺得太多：）"
Diablo’s Supergame,5,特別喜歡吃餐肉蛋豬排飯，凍鴛鴦也好喝，不過今天吃的是咖哩牛腩味道也不錯
"Kevin, Po Neng Hsu",5,香港近期不能去了，但是在這裡可以吃到道地的香港味！
Tao-Sheng Ou,4,整間店的速度都很快，候位、點餐、上菜，餐點口味還不錯，服務人員細心
Chike Chen,5,"很好吃
味道很夠
但小油"
謝國洲,5,價格合理，經典港式料理，推蝦米煎腸粉
PAUL HUANG,5,"老店來的
港式炒麵 鴛鴦 不錯"
蘇語婕,5,上餐速度十分驚人，餐點十分好吃又便宜!!非常值得來這裡排隊吃
S W,4,"台北難得味道正宗的香港茶餐廳

但冷飲好像有點容易造成腸胃不舒服

店家可能要注意一下冷飲的大腸桿菌情況"
黃詠翰,5,Cp值不錯，生意很好 但排隊也不會等太久 除三明治普普  其餘都水準之上  會再來吃不同的餐點！
郭小恩,4,"推xo炒蘿蔔糕
推蝦米煎粉腸

榮登 港式茶餐廳 前五名🙌🏻🙌🏻

抱歉只能附上吃光光的照片😅"
sven s,4,多士好吃。港式薄餅原來是沒有蔥的蔥油餅。
Caesar Tan,4,"有點油 不過味道還不錯
會再來"
Jia-Yi Lin,4,"法蘭西多士甜鹹口味加顆粒花生醬，不過油，非常好吃！
蘿蔔糕和煎腸粉微焦，較一般。"
R- W,4,搬家以後味道還是差不多，算是CP值尚可接受的茶餐廳
